customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PredictedChurnProb,PredictedChurn,RiskTier,AtRiskRevenue
0000-GEEJA,Male,0,No,No,66,One year,DSL,No,No,Electronic check,32.34,2171.44,No,0.24353344575971106,0,Low,0.0
0001-BADAB,Female,1,No,No,24,Month-to-month,DSL,No,No,Electronic check,40.72,946.14,No,0.6428773614074436,1,Medium,40.72
0002-GECIJ,Male,0,No,No,60,Month-to-month,No,No,No,Bank transfer (automatic),111.13,6696.54,Yes,0.4437179784911943,0,Medium,0.0
0003-BAEDE,Male,0,Yes,No,25,Month-to-month,DSL,Yes,No,Credit card (automatic),114.81,2917.58,Yes,0.5338821671270938,1,Medium,114.81
0004-JIJBI,Male,0,Yes,No,33,Month-to-month,No,No,Yes,Bank transfer (automatic),59.74,1951.95,No,0.39577904786737655,0,Medium,0.0
0005-HCEIE,Female,1,Yes,No,8,Month-to-month,No,No,Yes,Mailed check,42.68,358.27,Yes,0.4981285257045518,0,Medium,0.0
0006-AHIBJ,Male,0,Yes,Yes,39,One year,DSL,No,Yes,Credit card (automatic),51.03,1960.71,No,0.2836409708862085,0,Low,0.0
0007-GJCBJ,Male,0,Yes,No,6,Month-to-month,Fiber optic,Yes,No,Credit card (automatic),51.88,320.01,Yes,0.6645724562318371,1,High,51.88
0008-BBJAJ,Male,0,Yes,No,29,Month-to-month,DSL,No,No,Credit card (automatic),74.4,2140.35,No,0.5917226850671052,1,Medium,74.4
0009-GBIHG,Female,0,Yes,Yes,65,Month-to-month,DSL,Yes,No,Bank transfer (automatic),35.29,2305.45,No,0.36980774980208775,0,Medium,0.0
0010-EFFHC,Male,0,Yes,Yes,29,Month-to-month,Fiber optic,Yes,Yes,Bank transfer (automatic),76.87,2246.03,No,0.5634616522199499,1,Medium,76.87
0011-DAHIJ,Male,0,Yes,No,67,Month-to-month,Fiber optic,No,No,Electronic check,55.77,3758.39,No,0.5923835432333042,1,Medium,55.77
0012-IGCBH,Male,0,No,No,57,Month-to-month,No,Yes,No,Bank transfer (automatic),81.75,4700.07,No,0.34483897922962325,0,Medium,0.0
0013-BIAHH,Male,0,No,Yes,54,Month-to-month,DSL,No,No,Bank transfer (automatic),75.69,4048.22,No,0.43544973745357407,0,Medium,0.0
0014-EIABD,Female,0,Yes,No,13,One year,DSL,No,No,Credit card (automatic),64.88,820.98,Yes,0.37854787827754194,0,Medium,0.0
0015-FAEEC,Male,0,Yes,No,36,Month-to-month,Fiber optic,Yes,No,Credit card (automatic),30.16,1052.76,No,0.5571481973910003,1,Medium,30.16
0016-FJBAA,Female,0,Yes,Yes,43,One year,DSL,No,No,Bank transfer (automatic),34.05,1457.77,No,0.2631414373871055,0,Low,0.0
0017-HIAJE,Female,0,No,Yes,5,Two year,Fiber optic,No,No,Mailed check,53.33,259.78,No,0.5605486227537633,1,Medium,53.33
0018-EBJDI,Female,1,Yes,No,25,Month-to-month,Fiber optic,No,Yes,Credit card (automatic),93.51,2321.24,Yes,0.6927399481025202,1,High,93.51
0019-EICFJ,Male,0,No,No,13,Month-to-month,No,No,No,Electronic check,52.16,726.84,No,0.6549548536858257,1,Medium,52.16
0020-AIBJA,Female,1,Yes,No,7,Month-to-month,Fiber optic,No,No,Mailed check,46.53,351.8,No,0.7155263058737442,1,High,46.53
0021-GBFJF,Male,0,Yes,No,23,Month-to-month,Fiber optic,Yes,Yes,Credit card (automatic),98.98,2235.72,No,0.6066605495466603,1,Medium,98.98
0022-JDEEF,Female,0,Yes,Yes,38,Two year,Fiber optic,No,Yes,Electronic check,106.98,4055.46,Yes,0.5020598944040107,1,Medium,106.98
0023-GCDBB,Female,1,Yes,No,48,Month-to-month,No,Yes,No,Credit card (automatic),91.87,4445.86,Yes,0.37729631754270165,0,Medium,0.0
0024-BABHC,Female,0,No,No,62,Month-to-month,No,No,No,Electronic check,63.68,3914.82,No,0.48846441799634677,0,Medium,0.0
0025-CGHAF,Female,0,No,No,25,Month-to-month,DSL,No,No,Credit card (automatic),39.67,988.17,Yes,0.5946303646488998,1,Medium,39.67
0026-DDJBD,Female,0,No,No,9,Month-to-month,Fiber optic,No,No,Credit card (automatic),119.47,1102.56,No,0.7640850234293017,1,High,119.47
0027-AFEDH,Female,0,No,Yes,57,Month-to-month,Fiber optic,No,Yes,Bank transfer (automatic),52.49,2950.52,No,0.5582548678166646,1,Medium,52.49
0028-ABAHA,Female,0,No,No,13,Month-to-month,Fiber optic,No,No,Mailed check,62.13,839.43,No,0.7189150556263904,1,High,62.13
0029-GFJJE,Female,0,No,Yes,72,Month-to-month,DSL,Yes,No,Mailed check,71.26,5091.79,No,0.36269269094362144,0,Medium,0.0
0030-BABCE,Male,0,Yes,Yes,70,One year,Fiber optic,No,Yes,Bank transfer (automatic),75.59,5287.64,No,0.2344631205337191,0,Low,0.0
0031-BGDBA,Male,0,Yes,No,38,Month-to-month,DSL,No,Yes,Credit card (automatic),20.07,808.36,No,0.41308516079315033,0,Medium,0.0
0032-EDJGB,Female,0,Yes,Yes,30,Two year,DSL,No,No,Mailed check,109.52,3286.51,No,0.40832703267587217,0,Medium,0.0
0033-AIBGI,Female,0,No,No,49,Month-to-month,DSL,No,No,Electronic check,107.79,5321.8,No,0.615130402324647,1,Medium,107.79
0034-HDHBD,Female,0,Yes,Yes,15,Month-to-month,DSL,No,Yes,Electronic check,30.72,502.63,No,0.6334321698881785,1,Medium,30.72
0035-FFJBB,Male,0,No,Yes,71,Month-to-month,DSL,Yes,No,Credit card (automatic),104.6,7419.53,No,0.3993766638538349,0,Medium,0.0
