customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-GEEJA,Male,0,No,No,66,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,32.34,2171.44,No
0001-BADAB,Female,1,No,No,24,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,40.72,946.14,No
0002-GECIJ,Male,0,No,No,60,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),111.13,6696.54,Yes
0003-BAEDE,Male,0,Yes,No,25,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),114.81,2917.58,Yes
0004-JIJBI,Male,0,Yes,No,33,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),59.74,1951.95,No
0005-HCEIE,Female,1,Yes,No,8,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,42.68,358.27,Yes
0006-AHIBJ,Male,0,Yes,Yes,39,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),51.03,1960.71,No
0007-GJCBJ,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.88,320.01,Yes
0008-BBJAJ,Male,0,Yes,No,29,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.4,2140.35,No
0009-GBIHG,Female,0,Yes,Yes,65,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.29,2305.45,No
0010-EFFHC,Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.87,2246.03,No
0011-DAHIJ,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.77,3758.39,No
0012-IGCBH,Male,0,No,No,57,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),81.75,4700.07,No
0013-BIAHH,Male,0,No,Yes,54,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),75.69,4048.22,No
0014-EIABD,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),64.88,820.98,Yes
0015-FAEEC,Male,0,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),30.16,1052.76,No
0016-FJBAA,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),34.05,1457.77,No
